cif,formula,sgnum,sitios,atoms,elements,target,prediction
1000022,CaTiO3,62,4,20.0,3.0,7,7
1000097,CdNF3,62,4,20.0,3.0,7,7
1000290,PrNiO3,62,4,20.0,3.0,7,7
1000293,PrNiO3,167,3,30.0,3.0,7,7
1000303,NdNiO3,62,4,20.0,3.0,7,7
1000304,SmNiO3,62,4,20.0,3.0,7,7
1000307,LaNiO3,167,3,30.0,3.0,7,7
1001054,Ba1Ta0.5Co0.5O3,221,3,5.0,4.0,7,7
1001094,Ba2UFeO6,225,4,40.0,4.0,7,7
1001124,Y0.24Ta0.72W0.28O3,221,3,4.24,4.0,7,7
1001128,Ba2UMnO6,225,4,40.0,4.0,7,7
1001132,Ba2MgUO6,225,4,40.0,4.0,7,7
1001184,Ca0.5Ta1O3,221,3,4.5,3.0,7,7
1001185,Ta1Sn0.25O3,221,3,4.25,3.0,7,7
1001186,Ca0.91Ta0.84O3,221,3,4.75,3.0,7,7
1001399,Sr2FeRuO6,15,4,20.0,4.0,7,7
1001401,BaLaNiRuO6,15,4,20.0,5.0,7,7
1001402,BaLaNiRuO6,2,6,10.0,5.0,7,7
1001469,Ba2CePtO6,225,4,40.0,4.0,7,7
1001472,Sr2ErRuO6,14,6,20.0,4.0,7,7
1001474,Ca2NdRuO6,14,6,20.0,4.0,7,7
1001476,Ca2HoRuO6,14,6,20.0,4.0,7,7
1001665,Nd4Cu4O11.724,62,4,19.724,3.0,7,7
1001704,Sr0.4Ca0.8Pr2.8Mn4O12,62,4,20.0,5.0,7,7
1001734,Sr1.2Nd2.8Mn4O12,62,4,20.0,4.0,7,7
1001735,Sr0.32Ca0.88Nd2.8Mn4O12,62,4,20.0,5.0,7,7
1001736,Ca1.2Nd2.8Mn4O12,62,4,20.0,4.0,7,7
1001775,TaSnO3,221,3,5.0,3.0,7,7
1001820,La3.65Mn4O12,15,4,19.648,3.0,7,7
1001823,La2MgPtO6,14,6,20.004,4.0,7,7
1001824,La2NiPtO6,14,6,20.0,4.0,7,7
1001825,La2ZnPtO6,14,6,20.0,4.0,7,7
1001826,La2CoPtO6,14,6,20.0,4.0,7,7
1001827,Pr2CoPtO6,14,6,20.0,4.0,7,7
1001828,Nd2CoPtO6,14,6,20.0,4.0,7,7
1004099,K0.13Ba0.87Bi1O3,221,3,5.0,4.0,7,7
1005008,Ca3AsN,62,4,20.0,3.0,7,7
1006128,Sr0.5La3.5Mn4O12,62,4,20.0,4.0,7,7
1006141,LaMnO3,62,4,20.0,3.0,7,7
1008091,TbFeO3,62,4,20.0,3.0,7,7
1008110,Mn3GaC,221,3,5.0,3.0,7,7
1008154,DyCrO3,62,4,20.0,3.0,7,7
1008159,ErCrO3,62,4,20.0,3.0,7,7
1008180,CaTi4(CuO4)3,204,4,40.0,4.0,7,7
1008181,Tb1.42Ti8Cu6O24,204,4,39.42,4.0,7,7
1008192,ThMn4(CuO4)3,204,4,40.0,4.0,7,7
1008219,YMn4(CuO4)3,204,4,40.0,4.0,7,7
1008633,NdCu3(RuO3)4,204,4,40.0,4.0,7,7
1008644,LaVO3,62,4,20.0,3.0,7,7
1008646,LaVO3,14,6,20.0,3.0,7,7
1008788,NdTi3Fe(CuO4)3,204,4,40.0,5.0,7,7
1008816,K2.24Sr1.76Bi4O12,140,4,20.0,4.0,7,7
1008898,MgTe(PbO3)2,225,4,40.0,4.0,7,7
1009044,Mn3NiN,221,3,5.0,3.0,7,7
1009045,Mn3PdN,221,3,5.0,3.0,7,7
1009048,Mn3RhN,221,3,5.0,3.0,7,7
1009050,Mn3SnN,221,3,5.0,3.0,7,7
1009074,Mn3GaN,221,3,5.0,3.0,7,7
1010072,CsAuCl3,225,4,40.0,3.0,7,7
1010118,CsHgBr3,221,3,5.0,3.0,7,7
1010119,Cs1Hg1Br2.01Cl0.99,221,3,5.0,4.0,7,7
1010120,Cs1Hg1Br0.99Cl2.01,221,3,5.0,4.0,7,7
1010121,CsHgCl3,221,3,5.0,3.0,7,7
1010122,CsCdBr3,221,3,5.0,3.0,7,7
1010123,CsCdCl3,221,3,5.0,3.0,7,7
1010322,Cs1Ag0.5Au0.5Cl3,221,3,5.0,4.0,7,7
1010323,Cs1Au1Cl3,221,3,5.0,3.0,7,7
1010406,BaCeO3,221,3,5.0,3.0,7,7
1010407,BaThO3,221,3,5.0,3.0,7,7
1010419,NaWO3,221,3,5.0,3.0,7,7
1010420,Na0.35W1O3,221,3,4.35,3.0,7,7
1010424,SrZrO3,221,3,5.0,3.0,7,7
1010425,SrHfO3,221,3,5.0,3.0,7,7
1010900,CsIO3,221,3,5.0,3.0,7,7
1010902,TiCdO3,221,3,5.0,3.0,7,7
1010928,CaCO3,167,3,30.0,3.0,7,7
1010932,Na3AlF6,14,6,20.0,3.0,7,7
1011000,Na0.5Ca0.2Ce0.3Ti0.8Nb0.2O3,221,3,5.0,6.0,7,7
1011029,NaNO3,167,3,30.0,3.0,7,7
1011064,NaNbO3,221,3,5.0,3.0,7,7
1011211,CaTiO3,221,3,5.0,3.0,7,7
1011212,Na0.3Ca0.7Ti0.7Nb0.3O3,221,3,5.0,5.0,7,7
1011228,MnCO3,167,3,30.0,3.0,7,7
1011340,LiNO3,167,3,30.0,3.0,7,7
1100063,MgNi3C,221,3,5.0,3.0,7,9
1101016,Sr3.852Pr4O12,62,4,19.852,3.0,7,7
1200014,CaMg(CO3)2,148,4,30.0,4.0,7,7
1501486,Mg0.213Ti0.36Nb0.427Pb1O3,221,3,5.0,5.0,7,7
1501488,Mg0.227Ti0.32Nb0.453Pb1O3,221,3,5.0,5.0,7,7
1501497,Mg0.237Ti0.29Nb0.473Pb1O3,221,3,5.0,5.0,7,7
1501507,Mg0.25Ti0.25Nb0.5Pb1O3,221,3,5.0,5.0,7,7
1508503,LaAlO3,167,3,30.0,3.0,7,7
1509285,Cs2KAgF6,225,4,40.0,4.0,7,7
1509463,Mn3AgN,221,3,5.0,3.0,7,7
1510068,Ca3AuN,221,3,5.0,3.0,7,7
1510091,CsAuCl3,221,3,5.0,3.0,7,9
1510134,Eu3AuO6,2,6,10.0,3.0,7,7
1510162,Gd3AuO6,2,6,10.0,3.0,7,7
1510209,K3AuO,221,3,5.0,3.0,7,7
1510243,V3AuN,221,3,5.0,3.0,7,7
1510260,Rb3AuO,221,3,5.0,3.0,7,7
1510265,Sm3AuO6,2,6,10.0,3.0,7,7
1510753,MgSn(BO3)2,148,4,30.0,4.0,7,7
1510791,Ca0.06Mn2.49Fe0.45Sn3B6O18,148,4,30.0,6.0,7,1
1511029,CeBPd3,221,3,5.0,3.0,7,7
1511032,CeBRh3,221,3,5.0,3.0,7,7
1511101,Er1B1Rh1.8Pt1.2,221,3,5.0,4.0,7,7
