cif,formula,sgnum,sitios,atoms,elements,target,prediction
1000022,CaTiO3,62,4,20.0,3.0,5,5
1000097,CdNF3,62,4,20.0,3.0,5,7
1000179,Na0.22Fe2F6,167,3,24.66,3.0,5,5
1000290,PrNiO3,62,4,20.0,3.0,5,5
1000293,PrNiO3,167,3,30.0,3.0,5,5
1000303,NdNiO3,62,4,20.0,3.0,5,5
1000307,LaNiO3,167,3,30.0,3.0,5,5
1001054,Ba1Ta0.5Co0.5O3,221,3,5.0,4.0,5,5
1001094,Ba2UFeO6,225,4,40.0,4.0,5,5
1001124,Y0.24Ta0.72W0.28O3,221,3,4.24,4.0,5,5
1001128,Ba2UMnO6,225,4,40.0,4.0,5,5
1001185,Ta1Sn0.25O3,221,3,4.25,3.0,5,5
1001186,Ca0.91Ta0.84O3,221,3,4.75,3.0,5,5
1001397,BaLaZnRuO6,15,4,20.0,5.0,5,5
1001399,Sr2FeRuO6,15,4,20.0,4.0,5,5
1001401,BaLaNiRuO6,15,4,20.0,5.0,5,5
1001402,BaLaNiRuO6,2,6,10.0,5.0,5,5
1001460,Ba10.6668Bi5.3332O22.68,225,4,38.68,3.0,5,5
1001469,Ba2CePtO6,225,4,40.0,4.0,5,5
1001472,Sr2ErRuO6,14,6,20.0,4.0,5,5
1001474,Ca2NdRuO6,14,6,20.0,4.0,5,5
1001476,Ca2HoRuO6,14,6,20.0,4.0,5,5
1001665,Nd4Cu4O11.724,62,4,19.724,3.0,5,5
1001704,Sr0.4Ca0.8Pr2.8Mn4O12,62,4,20.0,5.0,5,5
1001734,Sr1.2Nd2.8Mn4O12,62,4,20.0,4.0,5,5
1001735,Sr0.32Ca0.88Nd2.8Mn4O12,62,4,20.0,5.0,5,5
1001736,Ca1.2Nd2.8Mn4O12,62,4,20.0,4.0,5,5
1001775,TaSnO3,221,3,5.0,3.0,5,5
1001823,La2MgPtO6,14,6,20.004,4.0,5,5
1001824,La2NiPtO6,14,6,20.0,4.0,5,5
1001825,La2ZnPtO6,14,6,20.0,4.0,5,5
1001826,La2CoPtO6,14,6,20.0,4.0,5,5
1001827,Pr2CoPtO6,14,6,20.0,4.0,5,5
1006046,LiLa2SbO6,14,6,20.0,4.0,5,5
1006117,La4Ti2.08Cu1.92O12,62,4,20.0,4.0,5,5
1006128,Sr0.5La3.5Mn4O12,62,4,20.0,4.0,5,5
1006141,LaMnO3,62,4,20.0,3.0,5,5
1006169,SrSm3Mn4O12,14,6,20.0,4.0,5,5
1008091,TbFeO3,62,4,20.0,3.0,5,5
1008154,DyCrO3,62,4,20.0,3.0,5,5
1008159,ErCrO3,62,4,20.0,3.0,5,5
1008181,Tb1.42Ti8Cu6O24,204,4,39.42,4.0,5,5
1008192,ThMn4(CuO4)3,204,4,40.0,4.0,5,5
1008219,YMn4(CuO4)3,204,4,40.0,4.0,5,5
1008633,NdCu3(RuO3)4,204,4,40.0,4.0,5,5
1008646,LaVO3,14,6,20.0,3.0,5,5
1008815,SrBiO3,14,6,20.0,3.0,5,5
1008816,K2.24Sr1.76Bi4O12,140,4,20.0,4.0,5,5
1008898,MgTe(PbO3)2,225,4,40.0,4.0,5,5
1009040,Mn3IrN,221,3,5.0,3.0,5,5
1009044,Mn3NiN,221,3,5.0,3.0,5,5
1009045,Mn3PdN,221,3,5.0,3.0,5,5
1009046,Mn3PtN,221,3,5.0,3.0,5,5
1009048,Mn3RhN,221,3,5.0,3.0,5,5
1009050,Mn3SnN,221,3,5.0,3.0,5,5
1009051,Mn3ZnN,221,3,5.0,3.0,5,5
1010072,CsAuCl3,225,4,40.0,3.0,5,7
1010118,CsHgBr3,221,3,5.0,3.0,5,7
1010119,Cs1Hg1Br2.01Cl0.99,221,3,5.0,4.0,5,7
1010120,Cs1Hg1Br0.99Cl2.01,221,3,5.0,4.0,5,7
1010121,CsHgCl3,221,3,5.0,3.0,5,7
1010122,CsCdBr3,221,3,5.0,3.0,5,7
1010123,CsCdCl3,221,3,5.0,3.0,5,7
1010322,Cs1Ag0.5Au0.5Cl3,221,3,5.0,4.0,5,7
1010406,BaCeO3,221,3,5.0,3.0,5,5
