cif,formula,sgnum,WyckOcc,sitios,elements,atoms,target
9005880,TiMnO3,62,"{0: {'b': {'Ti': 1}}, 1: {'c': {'Mn': 1}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,3.0,20.0,7
1526747,Sr0.8Ca0.2Fe1O3,221,"{0: {'a': {'Ca': 0.2, 'Sr': 0.8}}, 1: {'b': {'Fe': 1}}, 2: {'c': {'O': 1}}}",3,4.0,5.0,7
1533697,K4Ca4H1.232F10.768,62,"{0: {'b': {'Ca': 1}}, 1: {'c': {'K': 1}}, 2: {'c': {'F': 0.974, 'H': 0.026}}, 3: {'d': {'F': 0.859, 'H': 0.141}}}",4,4.0,20.0,7
4002545,Sr2CoWO6,14,"{0: {'b': {'Co': 1}}, 1: {'c': {'W': 1}}, 2: {'e': {'Sr': 1}}, 3: {'e': {'O': 1}}, 4: {'e': {'O': 1}}, 5: {'e': {'O': 1}}}",6,4.0,20.0,7
1521341,Ba1.1272Sr2.8728Zr3.9328Ti0.0672O12,62,"{0: {'a': {'Zr': 0.983, 'Ti': 0.017}}, 1: {'c': {'Sr': 0.718, 'Ba': 0.282}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,5.0,20.0,7
1541625,Sr2CoMoO6,225,"{0: {'a': {'Mo': 1}}, 1: {'b': {'Co': 1}}, 2: {'c': {'Sr': 1}}, 3: {'e': {'O': 1}}}",4,4.0,40.0,7
1520874,K2.4Sr1.6Bi4O12,140,"{0: {'a': {'O': 1}}, 1: {'b': {'K': 0.6, 'Sr': 0.4}}, 2: {'c': {'Bi': 1}}, 3: {'h': {'O': 1}}}",4,4.0,20.0,7
1535918,Ba2TbSbO6,225,"{0: {'a': {'Sb': 1}}, 1: {'b': {'Tb': 1}}, 2: {'c': {'Ba': 1}}, 3: {'e': {'O': 1}}}",4,4.0,40.0,7
4001868,Er1Mn0.041Ga3,221,"{0: {'a': {'Er': 1}}, 1: {'b': {'Mn': 0.041}}, 2: {'c': {'Ga': 1}}}",3,3.0,4.041,7
9004930,Ca3.21Mg2.79C6O18,148,"{0: {'a': {'Ca': 1}}, 1: {'b': {'Ca': 0.07, 'Mg': 0.93}}, 2: {'c': {'C': 1}}, 3: {'f': {'O': 1}}}",4,4.0,30.0,7
1511303,PrBRh3,221,"{0: {'a': {'Pr': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Rh': 1}}}",3,3.0,5.0,7
4336915,TbFe4(CuO4)3,204,"{0: {'a': {'Tb': 1}}, 1: {'b': {'Cu': 1}}, 2: {'c': {'Fe': 1}}, 3: {'g': {'O': 1}}}",4,4.0,40.0,7
1521387,SrZrO3,62,"{0: {'a': {'Zr': 1}}, 1: {'c': {'Sr': 1}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,3.0,20.0,7
8000220,Sr1.2La4.8Mg0.9Ga4.8Co0.3O16.7994,167,"{0: {'a': {'La': 0.8, 'Sr': 0.2}}, 1: {'b': {'Co': 0.05, 'Mg': 0.15, 'Ga': 0.8}}, 2: {'e': {'O': 0.933}}}",3,6.0,28.794,7
2013925,Sr1Co1O2.64,221,"{0: {'a': {'Sr': 1}}, 1: {'b': {'Co': 1}}, 2: {'c': {'O': 0.88}}}",3,3.0,4.64,7
1533856,Tb4Al0.8Fe3.2O12,62,"{0: {'b': {'Al': 0.2, 'Fe': 0.8}}, 1: {'c': {'Tb': 1}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,4.0,20.0,7
1533179,Ba8Dy5.332Mo2.668O24,225,"{0: {'a': {'Dy': 1}}, 1: {'b': {'Dy': 0.333, 'Mo': 0.667}}, 2: {'c': {'Ba': 1}}, 3: {'e': {'O': 1}}}",4,4.0,40.0,7
1534295,Fe6Ge2N,140,"{0: {'a': {'Fe': 1}}, 1: {'b': {'Ge': 1}}, 2: {'c': {'N': 0.5}}, 3: {'h': {'Fe': 1}}}",4,3.0,18.0,7
1507757,BaTiO3,221,"{0: {'a': {'Ti': 1}}, 1: {'b': {'Ba': 1}}, 2: {'d': {'O': 1}}}",3,3.0,5.0,7
1529166,Sr4Mn0.5Fe1.5Mo2O12,14,"{0: {'b': {'Mn': 0.25, 'Mo': 0.15, 'Fe': 0.6}}, 1: {'c': {'Mo': 0.85, 'Fe': 0.15}}, 2: {'e': {'Sr': 1}}, 3: {'e': {'O': 1}}, 4: {'e': {'O': 1}}, 5: {'e': {'O': 1}}}",6,5.0,20.0,7
1521098,Ca1.6La2.4Mn4O11.096F0.696,62,"{0: {'a': {'Mn': 1}}, 1: {'c': {'Ca': 0.4, 'La': 0.6}}, 2: {'c': {'O': 1}}, 3: {'d': {'F': 0.087, 'O': 0.887}}}",4,5.0,19.792,7
1542083,Ca0.6La0.8Zr0.6O3,221,"{0: {'a': {'Ca': 0.2, 'La': 0.8}}, 1: {'b': {'Ca': 0.4, 'Zr': 0.6}}, 2: {'c': {'O': 1}}}",3,4.0,5.0,7
1528357,Nd2.8Mn4Pb1.2O12,62,"{0: {'b': {'Mn': 1}}, 1: {'c': {'Nd': 0.7, 'Pb': 0.3}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,4.0,20.0,7
1535156,Ba2LiOsO6,225,"{0: {'a': {'Os': 1}}, 1: {'b': {'Li': 1}}, 2: {'c': {'Ba': 1}}, 3: {'e': {'O': 1}}}",4,4.0,40.0,7
4002423,Sr2.4La3.6Cr1.2Fe4.8O18,167,"{0: {'a': {'La': 0.6, 'Sr': 0.4}}, 1: {'b': {'Fe': 0.8, 'Cr': 0.2}}, 2: {'e': {'O': 1}}}",3,5.0,30.0,7
9001246,Ca3.021Mg1.353Fe1.626C6O18,148,"{0: {'a': {'Ca': 0.998, 'Fe': 0.002}}, 1: {'b': {'Ca': 0.009, 'Mg': 0.451, 'Fe': 0.54}}, 2: {'c': {'C': 1}}, 3: {'f': {'O': 1}}}",4,5.0,30.0,7
1521743,Sm4Co3.6Ni0.4O12,62,"{0: {'b': {'Ni': 0.1, 'Co': 0.9}}, 1: {'c': {'Sm': 1}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,4.0,20.0,7
1541796,KIO3,221,"{0: {'a': {'K': 1}}, 1: {'b': {'I': 1}}, 2: {'c': {'O': 1}}}",3,3.0,5.0,7
2106627,Ba3.32Ce3.8Pr0.68O12,62,"{0: {'b': {'Ce': 0.95}}, 1: {'c': {'Pr': 0.17, 'Ba': 0.83}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,4.0,19.8,7
2009816,CdSeO3,62,"{0: {'a': {'Cd': 1}}, 1: {'c': {'Se': 1}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,3.0,20.0,7
1533402,Sr1Fe0.7Sn0.3O3,221,"{0: {'a': {'Sr': 1}}, 1: {'b': {'Fe': 0.7, 'Sn': 0.3}}, 2: {'c': {'O': 1}}}",3,4.0,5.0,7
1535983,Yb3PbO,221,"{0: {'a': {'Pb': 1}}, 1: {'b': {'O': 1}}, 2: {'c': {'Yb': 1}}}",3,3.0,5.0,7
1533639,LiLa2RuO6,14,"{0: {'b': {'Li': 1}}, 1: {'c': {'Ru': 1}}, 2: {'e': {'La': 1}}, 3: {'e': {'O': 1}}, 4: {'e': {'O': 1}}, 5: {'e': {'O': 1}}}",6,4.0,20.0,7
1534151,Cs2TlVF6,225,"{0: {'a': {'V': 1}}, 1: {'b': {'Tl': 1}}, 2: {'c': {'Cs': 1}}, 3: {'e': {'F': 1}}}",4,4.0,40.0,7
1528128,BaPbO3,74,"{0: {'a': {'Pb': 1}}, 1: {'e': {'Ba': 1}}, 2: {'e': {'O': 1}}, 3: {'g': {'O': 1}}}",4,3.0,20.0,7
1531673,Mg0.283Nb0.717Pb1O3,221,"{0: {'a': {'Pb': 1}}, 1: {'b': {'Mg': 0.283, 'Nb': 0.717}}, 2: {'c': {'O': 1}}}",3,4.0,5.0,7
1526040,DyMnO3,62,"{0: {'b': {'Mn': 1}}, 1: {'c': {'Dy': 1}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,3.0,20.0,7
1533896,Nd3InC,221,"{0: {'a': {'In': 1}}, 1: {'b': {'C': 1}}, 2: {'c': {'Nd': 1}}}",3,3.0,5.0,7
1528597,Sr0.44La3.56Mg0.96Ga2.24Fe0.8O11.2,15,"{0: {'c': {'Mg': 0.24, 'Fe': 0.2, 'Ga': 0.56}}, 1: {'e': {'La': 0.89, 'Sr': 0.11}}, 2: {'e': {'O': 0.84}}, 3: {'f': {'O': 0.98}}}",4,6.0,19.2,7
4511447,PrRhO3,62,"{0: {'b': {'Rh': 1}}, 1: {'c': {'Pr': 1}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,3.0,20.0,7
1510367,RbAuBr3,12,"{0: {'a': {'Au': 1}}, 1: {'d': {'Au': 1}}, 2: {'i': {'Rb': 1}}, 3: {'i': {'Br': 1}}, 4: {'j': {'Br': 1}}}",5,3.0,20.0,7
4002392,YbMnO3,62,"{0: {'b': {'Mn': 1}}, 1: {'c': {'Yb': 1}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,3.0,20.0,7
1533816,La4Mn1.6Ga2.4O12,62,"{0: {'a': {'Mn': 0.4, 'Ga': 0.6}}, 1: {'c': {'La': 1}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,4.0,20.0,7
1533817,Ca0.6La5.4Ti3Cr3O18,167,"{0: {'a': {'Ca': 0.1, 'La': 0.9}}, 1: {'b': {'Ti': 0.5, 'Cr': 0.5}}, 2: {'e': {'O': 1}}}",3,5.0,30.0,7
1521803,Sr2.8La1.1Mn4O8.72F3.096,62,"{0: {'a': {'Mn': 1}}, 1: {'c': {'La': 0.275, 'Sr': 0.7}}, 2: {'c': {'O': 1}}, 3: {'d': {'F': 0.387, 'O': 0.59}}}",4,5.0,19.716,7
1511099,Er1B1Pd1.8Rh1.2,221,"{0: {'a': {'Er': 1}}, 1: {'b': {'B': 1}}, 2: {'c': {'Pd': 0.6, 'Rh': 0.4}}}",3,4.0,5.0,7
9002805,Sr2.6Ca1.4Ti4O12,140,"{0: {'a': {'O': 1}}, 1: {'b': {'Ca': 0.35, 'Sr': 0.65}}, 2: {'c': {'Ti': 1}}, 3: {'h': {'O': 1}}}",4,4.0,20.0,7
1541324,Ba8Sc0.532U2.68Fe4.788O24,225,"{0: {'a': {'Fe': 0.33, 'U': 0.67}}, 1: {'b': {'Sc': 0.133, 'Fe': 0.867}}, 2: {'c': {'Ba': 1}}, 3: {'e': {'O': 1}}}",4,5.0,40.0,7
1534072,Sr2MnNbO6,140,"{0: {'a': {'O': 1}}, 1: {'b': {'Sr': 1}}, 2: {'c': {'Mn': 0.5, 'Nb': 0.5}}, 3: {'h': {'O': 1}}}",4,4.0,20.0,7
1526745,Sr1.6Ca2.4Fe4O12,62,"{0: {'b': {'Fe': 1}}, 1: {'c': {'Ca': 0.6, 'Sr': 0.4}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,4.0,20.0,7
1537566,Sr0.76La0.24Ru0.96O2.7,221,"{0: {'a': {'Ru': 0.96}}, 1: {'b': {'La': 0.24, 'Sr': 0.76}}, 2: {'d': {'O': 0.9}}}",3,4.0,4.66,7
1009046,Mn3PtN,221,"{0: {'a': {'Pt0+': 1}}, 1: {'b': {'N0+': 1}}, 2: {'c': {'Mn0+': 1}}}",3,3.0,5.0,7
1532747,CaZrO3,62,"{0: {'b': {'Zr': 1}}, 1: {'c': {'Ca': 1}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,3.0,20.0,7
1526239,La3.944Mn3.6Cu0.4O12,62,"{0: {'a': {'Mn': 0.9, 'Cu': 0.1}}, 1: {'c': {'La': 0.986}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,4.0,19.944,7
1521096,Ca1.32La2.6Mn4O11.9,62,"{0: {'a': {'Mn': 1}}, 1: {'c': {'Ca': 0.33, 'La': 0.65}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 0.988}}}",4,4.0,19.824,7
1532668,Tm4Ga0.12Fe3.88O12,62,"{0: {'b': {'Fe': 0.97, 'Ga': 0.03}}, 1: {'c': {'Tm': 1}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,4.0,20.0,7
1533767,Sr1.2Nd2.4Mg0.4Mn4O12,62,"{0: {'b': {'Mn': 1}}, 1: {'c': {'Nd': 0.6, 'Mg': 0.1, 'Sr': 0.3}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,5.0,20.0,7
1533843,Ca3.6La0.4Ti2Cr2O12,62,"{0: {'b': {'Ti': 0.5, 'Cr': 0.5}}, 1: {'c': {'Ca': 0.9, 'La': 0.1}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,5.0,20.0,7
4336918,ErFe4(CuO4)3,201,"{0: {'a': {'Er': 1}}, 1: {'b': {'Fe': 1}}, 2: {'c': {'Fe': 1}}, 3: {'d': {'Cu': 1}}, 4: {'h': {'O': 1}}}",5,4.0,40.0,7
9001047,Ca3.06Mn2.94C6O18,148,"{0: {'a': {'Ca': 0.49, 'Mn': 0.51}}, 1: {'b': {'Ca': 0.53, 'Mn': 0.47}}, 2: {'c': {'C': 1}}, 3: {'f': {'O': 1}}}",4,4.0,30.0,7
1534045,TbScO3,62,"{0: {'b': {'Sc': 1}}, 1: {'c': {'Tb': 1}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,3.0,20.0,7
1528361,Sr2.668Gd1.332Fe4O11.844,74,"{0: {'b': {'Fe': 1}}, 1: {'e': {'Gd': 0.333, 'Sr': 0.667}}, 2: {'e': {'O': 0.987}}, 3: {'g': {'O': 0.987}}}",4,4.0,19.844,7
1527233,Ca3PbN,221,"{0: {'a': {'N': 1}}, 1: {'b': {'Pb': 1}}, 2: {'c': {'Ca': 1}}}",3,3.0,5.0,7
2106633,Ba2.84Ce3.68Pr1.16O12,62,"{0: {'b': {'Ce': 0.92}}, 1: {'c': {'Pr': 0.29, 'Ba': 0.71}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,4.0,19.68,7
1010603,Co(IN2)3,225,"{0: {'a': {'Co3+': 1}}, 1: {'b': {'I-': 1}}, 2: {'c': {'I-': 1}}, 3: {'e': {'N3-': 1}}}",4,3.0,40.0,7
1534384,Ti3NiS6,148,"{0: {'a': {'Ti': 1}}, 1: {'b': {'Ni': 1}}, 2: {'c': {'Ti': 1}}, 3: {'f': {'S': 1}}}",4,3.0,30.0,7
1100104,Sr4.112La3.88Mn4Co4O24,225,"{0: {'a': {'Co': 1}}, 1: {'b': {'Mn': 1}}, 2: {'c': {'La': 0.485, 'Sr': 0.514}}, 3: {'e': {'O': 1}}}",4,5.0,39.992,7
1521888,La2MnRhO6,62,"{0: {'b': {'Mn': 0.5, 'Rh': 0.5}}, 1: {'c': {'La': 1}}, 2: {'c': {'O': 1}}, 3: {'d': {'O': 1}}}",4,4.0,20.0,7
1008815,SrBiO3,14,"{0: {'a': {'Bi3+': 1}}, 1: {'d': {'Bi5+': 1}}, 2: {'e': {'Sr2+': 1}}, 3: {'e': {'O2-': 1}}, 4: {'e': {'O2-': 1}}, 5: {'e': {'O2-': 1}}}",6,3.0,20.0,7
1521116,Sr2TbIrO6,14,"{0: {'b': {'Tb': 1}}, 1: {'c': {'Ir': 1}}, 2: {'e': {'Sr': 1}}, 3: {'e': {'O': 1}}, 4: {'e': {'O': 1}}, 5: {'e': {'O': 1}}}",6,4.0,20.0,7
7214217,Ca5.64Mg0.36C6O18,167,"{0: {'a': {'C4+': 1}}, 1: {'b': {'Mg2+': 0.06, 'Ca2+': 0.94}}, 2: {'e': {'O2-': 1}}}",3,4.0,30.0,7
1522129,Ba0.93Mg0.21Ti0.79O2.97,221,"{0: {'a': {'Ba': 0.93}}, 1: {'b': {'Mg': 0.21, 'Ti': 0.79}}, 2: {'c': {'O': 0.99}}}",3,4.0,4.9,7
